Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Preu_mitja_habitatge,Valor
2019,2,3,Sants-Montjuïc,11,el Poble Sec,Total. Euros/m2 construït,4003.6
2019,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Total. Euros/m2 construït,NA
2019,2,3,Sants-Montjuïc,13,la Marina de Port,Total. Euros/m2 construït,2832.1
2019,2,3,Sants-Montjuïc,14,la Font de la Guatlla,Total. Euros/m2 construït,4566.6
2019,2,3,Sants-Montjuïc,15,Hostafrancs,Total. Euros/m2 construït,4492.7
2019,2,3,Sants-Montjuïc,16,la Bordeta,Total. Euros/m2 construït,3285.5
2019,2,3,Sants-Montjuïc,17,Sants - Badal,Total. Euros/m2 construït,3325.2
2019,2,3,Sants-Montjuïc,18,Sants,Total. Euros/m2 construït,3730.4
2019,2,4,Les Corts,19,les Corts,Total. Euros/m2 construït,4874.5
2019,2,4,Les Corts,20,la Maternitat i Sant Ramon,Total. Euros/m2 construït,4028.6
2019,2,4,Les Corts,21,Pedralbes,Total. Euros/m2 construït,6651.1
2019,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Total. Euros/m2 construït,4600.1
2019,2,5,Sarrià-Sant Gervasi,23,Sarrià,Total. Euros/m2 construït,6311.1
2019,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,Total. Euros/m2 construït,5203.3
2019,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Total. Euros/m2 construït,5725.6
2019,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Total. Euros/m2 construït,5335.2
2019,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Total. Euros/m2 construït,4842.1
2019,2,6,Gràcia,28,Vallcarca i els Penitents,Total. Euros/m2 construït,3516.4
2019,2,6,Gràcia,29,el Coll,Total. Euros/m2 construït,2331.4
2019,2,6,Gràcia,30,la Salut,Total. Euros/m2 construït,4467.3
2019,2,6,Gràcia,31,la Vila de Gràcia,Total. Euros/m2 construït,4835.5
2019,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Total. Euros/m2 construït,4274.5
2019,2,7,Horta-Guinardó,33,el Baix Guinardó,Total. Euros/m2 construït,3803.3
2019,2,7,Horta-Guinardó,34,Can Baró,Total. Euros/m2 construït,3293.6
2019,2,7,Horta-Guinardó,35,el Guinardó,Total. Euros/m2 construït,3347.7
2019,2,7,Horta-Guinardó,36,la Font d'en Fargues,Total. Euros/m2 construït,3407.9
2019,2,7,Horta-Guinardó,37,el Carmel,Total. Euros/m2 construït,2638.9
2019,2,7,Horta-Guinardó,38,la Teixonera,Total. Euros/m2 construït,2405.4
2019,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,Total. Euros/m2 construït,2266.7
2019,2,7,Horta-Guinardó,40,Montbau,Total. Euros/m2 construït,2694.2
2019,2,7,Horta-Guinardó,41,la Vall d'Hebron,Total. Euros/m2 construït,3664.6
2019,2,7,Horta-Guinardó,42,la Clota,Total. Euros/m2 construït,NA
2019,2,7,Horta-Guinardó,43,Horta,Total. Euros/m2 construït,2936.6
2019,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Total. Euros/m2 construït,2669.2
2019,2,8,Nou Barris,45,Porta,Total. Euros/m2 construït,2949.6
2019,2,8,Nou Barris,46,el Turó de la Peira,Total. Euros/m2 construït,2062.6
2019,2,8,Nou Barris,47,Can Peguera,Total. Euros/m2 construït,NA
2019,2,8,Nou Barris,48,la Guineueta,Total. Euros/m2 construït,2716.3
2019,2,8,Nou Barris,49,Canyelles,Total. Euros/m2 construït,2493.5
2019,2,8,Nou Barris,50,les Roquetes,Total. Euros/m2 construït,2351.9
2019,2,8,Nou Barris,51,Verdun,Total. Euros/m2 construït,2200.4
2019,2,8,Nou Barris,52,la Prosperitat,Total. Euros/m2 construït,1954.1
2019,2,8,Nou Barris,53,la Trinitat Nova,Total. Euros/m2 construït,1847.2
2019,2,8,Nou Barris,54,Torre Baró,Total. Euros/m2 construït,NA
2019,2,8,Nou Barris,55,Ciutat Meridiana,Total. Euros/m2 construït,1584.1
2019,2,8,Nou Barris,56,Vallbona,Total. Euros/m2 construït,1152.8
2019,2,9,Sant Andreu,57,la Trinitat Vella,Total. Euros/m2 construït,3265.5
2019,2,9,Sant Andreu,58,Baró de Viver,Total. Euros/m2 construït,NA
2019,2,9,Sant Andreu,59,el Bon Pastor,Total. Euros/m2 construït,2045.7
2019,2,9,Sant Andreu,60,Sant Andreu,Total. Euros/m2 construït,3380.4
2019,2,9,Sant Andreu,61,la Sagrera,Total. Euros/m2 construït,3854.7
2019,2,9,Sant Andreu,62,el Congrés i els Indians,Total. Euros/m2 construït,2804.6
2019,2,9,Sant Andreu,63,Navas,Total. Euros/m2 construït,4168.4
2019,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,Total. Euros/m2 construït,4116
2019,2,10,Sant Martí,65,el Clot,Total. Euros/m2 construït,4393.2
2019,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Total. Euros/m2 construït,4040.7
2019,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,Total. Euros/m2 construït,4893.9
2019,2,10,Sant Martí,68,el Poblenou,Total. Euros/m2 construït,4514.8
2019,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Total. Euros/m2 construït,7084.1
2019,2,10,Sant Martí,70,el Besòs i el Maresme,Total. Euros/m2 construït,3877
2019,2,10,Sant Martí,71,Provençals del Poblenou,Total. Euros/m2 construït,4335.5
2019,2,10,Sant Martí,72,Sant Martí de Provençals,Total. Euros/m2 construït,3443
2019,2,10,Sant Martí,73,la Verneda i la Pau,Total. Euros/m2 construït,2488.7
2019,2,1,Ciutat Vella,1,el Raval,Nou. Euros/m2 construït,6927.4
2019,2,1,Ciutat Vella,2,el Barri Gòtic,Nou. Euros/m2 construït,7267.3
2019,2,1,Ciutat Vella,3,la Barceloneta,Nou. Euros/m2 construït,NA
2019,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Nou. Euros/m2 construït,4022.3
2019,2,2,Eixample,5,el Fort Pienc,Nou. Euros/m2 construït,10523.9
2019,2,2,Eixample,6,la Sagrada Família,Nou. Euros/m2 construït,NA
2019,2,2,Eixample,7,la Dreta de l'Eixample,Nou. Euros/m2 construït,6386.1
2019,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Nou. Euros/m2 construït,NA
2019,2,2,Eixample,9,la Nova Esquerra de l'Eixample,Nou. Euros/m2 construït,3929.2
2019,2,2,Eixample,10,Sant Antoni,Nou. Euros/m2 construït,NA
2019,2,3,Sants-Montjuïc,11,el Poble Sec,Nou. Euros/m2 construït,2194.2
2019,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Nou. Euros/m2 construït,NA
2019,2,3,Sants-Montjuïc,13,la Marina de Port,Nou. Euros/m2 construït,NA
2019,2,3,Sants-Montjuïc,14,la Font de la Guatlla,Nou. Euros/m2 construït,NA
2019,2,3,Sants-Montjuïc,15,Hostafrancs,Nou. Euros/m2 construït,NA
2019,2,3,Sants-Montjuïc,16,la Bordeta,Nou. Euros/m2 construït,NA
2019,2,3,Sants-Montjuïc,17,Sants - Badal,Nou. Euros/m2 construït,NA
2019,2,3,Sants-Montjuïc,18,Sants,Nou. Euros/m2 construït,NA
2019,2,4,Les Corts,19,les Corts,Nou. Euros/m2 construït,5906.8
2019,2,4,Les Corts,20,la Maternitat i Sant Ramon,Nou. Euros/m2 construït,NA
2019,2,4,Les Corts,21,Pedralbes,Nou. Euros/m2 construït,NA
2019,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Nou. Euros/m2 construït,NA
2019,2,5,Sarrià-Sant Gervasi,23,Sarrià,Nou. Euros/m2 construït,NA
2019,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,Nou. Euros/m2 construït,NA
2019,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Nou. Euros/m2 construït,6985.5
2019,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Nou. Euros/m2 construït,5396
2019,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Nou. Euros/m2 construït,3854.5
2019,2,6,Gràcia,28,Vallcarca i els Penitents,Nou. Euros/m2 construït,5445.6
2019,2,6,Gràcia,29,el Coll,Nou. Euros/m2 construït,NA
2019,2,6,Gràcia,30,la Salut,Nou. Euros/m2 construït,NA
2019,2,6,Gràcia,31,la Vila de Gràcia,Nou. Euros/m2 construït,3335.9
2019,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Nou. Euros/m2 construït,NA
2019,2,7,Horta-Guinardó,33,el Baix Guinardó,Nou. Euros/m2 construït,NA
2019,2,7,Horta-Guinardó,34,Can Baró,Nou. Euros/m2 construït,NA
2019,2,7,Horta-Guinardó,35,el Guinardó,Nou. Euros/m2 construït,3932.4
2019,2,7,Horta-Guinardó,36,la Font d'en Fargues,Nou. Euros/m2 construït,NA
2019,2,7,Horta-Guinardó,37,el Carmel,Nou. Euros/m2 construït,2988.6
2019,2,7,Horta-Guinardó,38,la Teixonera,Nou. Euros/m2 construït,2699.8
2019,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,Nou. Euros/m2 construït,2246.5
2019,2,7,Horta-Guinardó,40,Montbau,Nou. Euros/m2 construït,2716.4
2019,2,7,Horta-Guinardó,41,la Vall d'Hebron,Nou. Euros/m2 construït,3431.3
2019,2,7,Horta-Guinardó,42,la Clota,Nou. Euros/m2 construït,NA
2019,2,7,Horta-Guinardó,43,Horta,Nou. Euros/m2 construït,2779
2019,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,45,Porta,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,46,el Turó de la Peira,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,47,Can Peguera,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,48,la Guineueta,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,49,Canyelles,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,50,les Roquetes,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,51,Verdun,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,52,la Prosperitat,Nou. Euros/m2 construït,NA
